region	network	event_id	magnitude	event_date	event_time	place	stations_200km	stations_300km	existing_data_status	workflow_status	download_status	obs_validation_status	process_status	plot_status	quality_status	quality_station_count	quality_ok_stations	quality_warn_stations	quality_fail_stations	station_health_ratio	requested_stations	obs_files	kin_files	plot_files	cleanup_status	pride_cleanup_status	obs_cleanup_status	duration_seconds	workflow_dir	summary_json	collection_status	export_event_dir	export_region	export_country	export_network	export_station_count	export_ok_station_count	export_warn_station_count	export_waveform_rows	export_event_grade	export_quality_filter	export_stations	export_package_status
NZ	GeoNet	2025p506857	6.1	2025-07-07	2025-07-07T12:53:41Z	120 km north-west of Snares Islands	1	5	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	5	5	0	0	1.0	5	5	5	10	OK	OK	OK	810	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2025p506857/workflow-20250707T125341Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2025p506857/workflow-20250707T125341Z/reports/workflow-summary.json	EXPORTED	nz-2025p506857-m6-1-20250707-120-km-north-west-of-snares-islands	Americas	Americas	EarthScope	5	5	0	96615	B	quality_status in OK,WARN	BLUF MAVL PYGR SCTY SSFT	COMPLETE
NZ	GeoNet	2025p224518	6.8	2025-03-25	2025-03-25T01:43:09Z	155 km north-west of Snares Islands	1	3	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	3	3	0	0	1.0	3	3	3	6				343	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2025p224518/workflow-20250325T014309Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2025p224518/workflow-20250325T014309Z/reports/workflow-summary.json	EXPORTED	nz-2025p224518-m6-8-20250325-155-km-north-west-of-snares-islands	Americas	Americas	EarthScope	3	3	0	55710	B	quality_status in OK,WARN	BLUF MAVL PYGR	COMPLETE
NZ	GeoNet	2021p169083	7.2	2021-03-04	2021-03-04T13:27:35Z	140 km east of Te Araroa	6	22	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	12	12	0	0	1.0	12	12	12	24	OK	OK	OK	5377	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2021p169083/workflow-20210304T132735Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2021p169083/workflow-20210304T132735Z/reports/workflow-summary.json	EXPORTED	nz-2021p169083-m7-2-20210304-140-km-east-of-te-araroa	Americas	Americas	EarthScope	12	12	0	777564	B	quality_status in OK,WARN	AHTI ANAU CNST GISB HIKB MATW OPTK PUKE RGWI TAUW TKAR WMAT	COMPLETE
NZ	GeoNet	2016p859524	6.7	2016-11-14	2016-11-14T00:34:23Z	25 km east of Hanmer Springs	21	34	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	21	21	0	0	1.0	21	21	21	42	OK	OK	OK	407	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p859524/workflow-20161114T003423Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p859524/workflow-20161114T003423Z/reports/workflow-summary.json	EXPORTED	nz-2016p859524-m6-7-20161114-25-km-east-of-hanmer-springs	Americas	Americas	EarthScope	21	21	0	193473	A	quality_status in OK,WARN	CLSK CMBL DURV GLDB HANM KAIK LKTA MAHA MQZG MRBL NLSN OKOH TKHL TORY TRWH V47B WEST WGTN WGTT WITH YALD	COMPLETE
NZ	GeoNet	2016p858094	6.1	2016-11-13	2016-11-13T11:52:44Z	20 km north of Kaikoura	31	48	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	31	30	1	0	0.968	31	31	31	62	OK	OK	OK	1085	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858094/workflow-20161113T115244Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858094/workflow-20161113T115244Z/reports/workflow-summary.json	EXPORTED	nz-2016p858094-m6-1-20161113-20-km-north-of-kaikoura	Americas	Americas	EarthScope	30	30	0	78084	A	quality_status in OK,WARN	AVLN BTHL CLIM CLSK CMBL GLDB HANM KAIK KAPT LKTA MAHA MQZG MRBL MTQN NLSN OKOH PAEK PALI PARW RDLV TKHL TORY TRAV TRWH V47B WEST WGTN WGTT WITH YALD	COMPLETE
NZ	GeoNet	2016p858055	6.2	2016-11-13	2016-11-13T11:32:07Z	15 km north of Kaikoura	31	48	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	31	29	2	0	0.935	31	31	31	62	OK	OK	OK	1494	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858055/workflow-20161113T113207Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858055/workflow-20161113T113207Z/reports/workflow-summary.json	EXPORTED	nz-2016p858055-m6-2-20161113-15-km-north-of-kaikoura	Americas	Americas	EarthScope	29	29	0	290841	A	quality_status in OK,WARN	AVLN BTHL CLIM CLSK GLDB HANM KAIK KAPT LKTA MAHA MQZG MRBL MTQN NLSN OKOH PAEK PALI PARW RDLV TKHL TORY TRAV TRWH V47B WEST WGTN WGTT WITH YALD	COMPLETE
NZ	GeoNet	2016p858021	6.0	2016-11-13	2016-11-13T11:12:35Z	5 km east of Kaikoura	30	48	HAS_NORMALIZED	DONE	OK	OK	OK	OK	WARN	30	20	7	3	0.667	30	30	30	60	OK	OK	OK	1616	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858021/workflow-20161113T111235Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858021/workflow-20161113T111235Z/reports/workflow-summary.json	EXPORTED	nz-2016p858021-m6-0-20161113-5-km-east-of-kaikoura	Americas	Americas	EarthScope	20	20	0	341220	A	quality_status in OK,WARN	AVLN CLSK KAPT LKTA MAHA MQZG MTQN NLSN OKOH PAEK PALI PARW RDLV TKHL TORY TRAV TRWH WEST WGTN YALD	COMPLETE
NZ	GeoNet	2016p858007	6.0	2016-11-13	2016-11-13T11:05:14Z	45 km south-west of Seddon	33	46	HAS_NORMALIZED	DONE	REUSED	OK	OK	OK	WARN	32	22	6	4	0.688	32	33	32	64	OK	OK	OK	1691	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858007/workflow-20161113T110514Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858007/workflow-20161113T110514Z/reports/workflow-summary.json	EXPORTED	nz-2016p858007-m6-0-20161113-45-km-south-west-of-seddon	Americas	Americas	EarthScope	22	22	0	433554	A	quality_status in OK,WARN	AVLN CLSK GLDB KAPT LKTA MAHA MRBL MTQN NLSN OKOH OTAK PAEK PALI PARW RDLV TKHL TORY TRAV TRWH WEST WGTN YALD	COMPLETE
NZ	GeoNet	2016p858000	7.8	2016-11-13	2016-11-13T11:02:56Z	15 km north-east of Culverden	17	49	HAS_NORMALIZED	DONE	OK	OK	OK	OK	OK	17	14	2	1	0.824	17	17	17	34	OK	OK	OK	2114	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858000/workflow-20161113T110256Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p858000/workflow-20161113T110256Z/reports/workflow-summary.json	EXPORTED	nz-2016p858000-m7-8-20161113-15-km-north-east-of-culverden	Americas	Americas	EarthScope	14	14	0	287490	B	quality_status in OK,WARN	CLSK HANM HOKI LKTA MAHA METH MQZG MRBL NLSN TKHL TORY WEST WITH YALD	COMPLETE
NZ	GeoNet	2016p661723	6.0	2016-09-01	2016-09-01T20:06:03Z	125 km north-east of Te Araroa	7	8	NO_EXISTING	DONE	OK	OK	FAIL	SKIPPED	SKIPPED_NO_KIN	0	0	0	0		8	8	0	0	SKIPPED_WORKFLOW_FAILED	SKIPPED_WORKFLOW_FAILED	SKIPPED_WORKFLOW_FAILED	24	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p661723/workflow-20160901T200603Z	/home/lihe/study/eq_collect/gnss-earthscope-pipeline/runs/2016p661723/workflow-20160901T200603Z/reports/workflow-summary.json	CURRENT_ONLY												NOT_IN_MANIFEST
