country	formula	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
Mexico	crowell_2016_gfast	15	0.610122	0.647141	0.790407	0.556002
Mexico	melgar_2015	15	0.332546	0.470291	0.567846	0.429129
Mexico	ruhl_2019	15	0.139152	0.417059	0.478065	0.456375
New Zealand	crowell_2016_gfast	18	0.631443	0.654451	0.771545	0.470535
New Zealand	melgar_2015	18	0.381819	0.442642	0.580095	0.266110
New Zealand	ruhl_2019	18	0.164126	0.367319	0.474124	0.342876
United States	crowell_2016_gfast	61	0.772300	0.787911	0.905709	0.849512
United States	melgar_2015	61	0.506900	0.571065	0.686357	0.552753
United States	ruhl_2019	61	0.290497	0.460724	0.563725	0.398628
ALL	crowell_2016_gfast	94	0.719448	0.739891	0.863719	0.798946
ALL	melgar_2015	94	0.455126	0.530393	0.649305	0.542366
ALL	ruhl_2019	94	0.242147	0.435870	0.534545	0.387517
