country	formula	event_count	bias_mw	mae_mw	rmse_mw	median_abs_error_mw
Mexico	crowell_2016_gfast	15	0.619244	0.656322	0.797573	0.693681
Mexico	melgar_2015	15	0.345222	0.483011	0.573151	0.429097
Mexico	ruhl_2019	15	0.152849	0.419487	0.478539	0.457323
New Zealand	crowell_2016_gfast	18	0.716667	0.738079	0.854032	0.549345
New Zealand	melgar_2015	18	0.488814	0.528577	0.680768	0.345916
New Zealand	ruhl_2019	18	0.279088	0.421604	0.559747	0.359891
United States	crowell_2016_gfast	61	0.798047	0.809229	0.921637	0.873174
United States	melgar_2015	61	0.546541	0.595697	0.705899	0.606492
United States	ruhl_2019	61	0.332998	0.467970	0.572816	0.464652
ALL	crowell_2016_gfast	94	0.753931	0.771205	0.890164	0.827074
ALL	melgar_2015	94	0.503361	0.564862	0.681561	0.564294
ALL	ruhl_2019	94	0.293927	0.451355	0.556298	0.448436
